year,state,state_po,totalvotes,dem,other,rep
1984,WYOMING,WY,188968,0.282428771,0.012473011,0.705098218
1988,ALABAMA,AL,1378476,0.398632983,0.009716528,0.591650489
1988,ALASKA,AK,200116,0.362709628,0.041380999,0.595909373
1988,ARIZONA,AZ,1171873,0.387438741,0.013058582,0.599502676
1988,ARKANSAS,AR,827738,0.421917322,0.014404316,0.563678362
1988,CALIFORNIA,CA,9887065,0.475594426,0.013139895,0.511265679
1988,COLORADO,CO,1372394,0.452824043,0.016587073,0.530588883
1988,CONNECTICUT,CT,1443394,0.468745194,0.011479194,0.519775612
1988,DELAWARE,DE,249891,0.434777563,0.0064228,0.558799637
1988,DISTRICT OF COLUMBIA,DC,192877,0.826469719,0.03048575,0.143044531
1988,FLORIDA,FL,4302313,0.385072169,0.00621224,0.608715591
1988,GEORGIA,GA,1809672,0.394984284,0.007486992,0.597528723
1988,HAWAII,HI,354461,0.542694401,0.009795154,0.447510445
1988,IDAHO,ID,408968,0.360106414,0.019109075,0.620784511
1988,ILLINOIS,IL,4559120,0.486045553,0.007071759,0.506882688
1988,INDIANA,IN,2168621,0.396861877,0.004710367,0.598427757
1988,IOWA,IA,1225614,0.54711924,0.007916032,0.444964728
1988,KANSAS,KS,993044,0.425596449,0.01647359,0.557929961
1988,KENTUCKY,KY,1322517,0.438835947,0.005949262,0.555214791
1988,LOUISIANA,LA,1628202,0.440645571,0.016607276,0.542747153
1988,MAINE,ME,555035,0.438835389,0.007810318,0.553354293
1988,MARYLAND,MD,1714358,0.481990343,0.006933791,0.511075866
1988,MASSACHUSETTS,MA,2632801,0.532290515,0.013958898,0.453750587
1988,MICHIGAN,MI,3669163,0.456720783,0.007602279,0.535676938
1988,MINNESOTA,MN,2096790,0.529128334,0.011914402,0.458957263
1988,MISSISSIPPI,MS,931527,0.390671446,0.010430186,0.598898368
1988,MISSOURI,MO,2093228,0.478504492,0.003179778,0.518315731
1988,MONTANA,MT,365674,0.461985266,0.017299562,0.520715173
1988,NEBRASKA,NE,661465,0.391910381,0.006461415,0.601628204
1988,NEVADA,NV,343133,0.386841254,0.012691872,0.600466874
1988,NEW HAMPSHIRE,NH,450525,0.363344986,0.011746296,0.624908718
1988,NEW JERSEY,NJ,3099553,0.425981424,0.011617482,0.562401095
1988,NEW MEXICO,NM,521387,0.468935743,0.012560727,0.51850353
1988,NEW YORK,NY,6485683,0.501949756,0.060407208,0.437643036
1988,NORTH CAROLINA,NC,2134370,0.417063115,0.003253888,0.579682998
1988,NORTH DAKOTA,ND,297261,0.42972001,0.009967672,0.560312318
1988,OHIO,OH,4393585,0.441468414,0.008514004,0.550017582
1988,OKLAHOMA,OK,1171036,0.412816515,0.007895573,0.579287913
1988,OREGON,OR,1201694,0.512781124,0.021105206,0.46611367
1988,PENNSYLVANIA,PA,4536251,0.483867405,0.009086799,0.507045796
1988,RHODE ISLAND,RI,404622,0.556378546,0.004295367,0.439326087
1988,SOUTH CAROLINA,SC,986009,0.375811985,0.009139876,0.615048139
1988,SOUTH DAKOTA,SD,312991,0.465061296,0.00644108,0.528497625
1988,TENNESSEE,TN,1636250,0.415458518,0.005636669,0.578904813
1988,TEXAS,TX,5427410,0.433493692,0.006970728,0.55953558
1988,UTAH,UT,647008,0.320464353,0.017345999,0.662189648
1988,VERMONT,VT,243328,0.4757981,0.013241386,0.510960514
1988,VIRGINIA,VA,2191609,0.392314049,0.01033396,0.597351991
1988,WASHINGTON,WA,1865253,0.500476879,0.014958829,0.484564292
1988,WEST VIRGINIA,WV,653311,0.521981109,0.003413382,0.474605509
1988,WISCONSIN,WI,2191608,0.514140302,0.007900592,0.477959106
1988,WYOMING,WY,176551,0.380133786,0.014562364,0.60530385
1992,ALABAMA,AL,1688060,0.408800635,0.114745329,0.476454036
1992,ALASKA,AK,258506,0.302871113,0.302553906,0.394574981
1992,ARIZONA,AZ,1486975,0.365204526,0.250064056,0.384731418
1992,ARKANSAS,AR,950653,0.532079528,0.113086478,0.354833993
1992,CALIFORNIA,CA,11131721,0.460065878,0.213787428,0.326146694
1992,COLORADO,CO,1569180,0.401280287,0.240029187,0.358690526
1992,CONNECTICUT,CT,1616156,0.42218573,0.219981858,0.357832412
1992,DELAWARE,DE,289620,0.435239279,0.211494372,0.353266349
1992,DISTRICT OF COLUMBIA,DC,227572,0.846409049,0.062639516,0.090951435
1992,FLORIDA,FL,5313392,0.389901216,0.201073815,0.409024969
1992,GEORGIA,GA,2321133,0.434686853,0.136534615,0.428778532
1992,HAWAII,HI,372842,0.480927578,0.152101963,0.366970459
1992,IDAHO,ID,482114,0.284192121,0.295481981,0.420325898
1992,ILLINOIS,IL,5050157,0.485796778,0.17082855,0.343374671
1992,INDIANA,IN,2305871,0.367939056,0.202993142,0.429067801
1992,IOWA,IA,1354607,0.432858386,0.194420227,0.372721387
1992,KANSAS,KS,1157236,0.337384941,0.273799813,0.388815246
1992,KENTUCKY,KY,1492900,0.445511421,0.141079778,0.413408802
1992,LOUISIANA,LA,1790017,0.455845391,0.134445651,0.409708958
1992,MAINE,ME,679499,0.387667973,0.308425767,0.30390626
1992,MARYLAND,MD,1984580,0.498126052,0.145579921,0.356294027
1992,MASSACHUSETTS,MA,2773664,0.475414109,0.234342011,0.29024388
1992,MICHIGAN,MI,4274673,0.437736875,0.198506646,0.363756479
1992,MINNESOTA,MN,2347948,0.434846513,0.246645156,0.318508332
1992,MISSISSIPPI,MS,981793,0.407680641,0.095480412,0.496838947
1992,MISSOURI,MO,2391270,0.440716858,0.220066325,0.339216818
1992,MONTANA,MT,410583,0.376311245,0.272463789,0.351224965
1992,NEBRASKA,NE,737546,0.294034542,0.239990455,0.465975004
1992,NEVADA,NV,506318,0.3735755,0.279156577,0.347267923
1992,NEW HAMPSHIRE,NH,537215,0.389117951,0.233967778,0.376914271
1992,NEW JERSEY,NJ,3343594,0.429539591,0.164650074,0.405810335
1992,NEW MEXICO,NM,569986,0.458988466,0.167626924,0.373384609
1992,NEW YORK,NY,7079432,0.472763069,0.2388395,0.288397431
1992,NORTH CAROLINA,NC,2611850,0.426533683,0.13903823,0.434428087
1992,NORTH DAKOTA,ND,308133,0.321835052,0.236005232,0.442159717
1992,OHIO,OH,4939967,0.401812806,0.21472107,0.383466124
1992,OKLAHOMA,OK,1390359,0.340247375,0.233295142,0.426457483
1992,OREGON,OR,1462643,0.424788551,0.249939322,0.325272127
1992,PENNSYLVANIA,PA,4959810,0.451461649,0.187266246,0.361272105
1992,RHODE ISLAND,RI,453365,0.470479636,0.239244317,0.290276047
1992,SOUTH CAROLINA,SC,1228912,0.427625412,0.102441021,0.469933567
1992,SOUTH DAKOTA,SD,336254,0.371409708,0.221998846,0.406591446
1992,TENNESSEE,TN,1982638,0.470847931,0.104818429,0.42433364
1992,TEXAS,TX,6154018,0.370784583,0.223615206,0.405600211
1992,UTAH,UT,743998,0.246545018,0.319808655,0.433646327
1992,VERMONT,VT,289701,0.461137518,0.234679894,0.304182588
1992,VIRGINIA,VA,2559129,0.405860744,0.144565592,0.449573664
1992,WASHINGTON,WA,2287565,0.4341022,0.246241746,0.319656053
1992,WEST VIRGINIA,WV,683677,0.484148216,0.161921492,0.353930292
1992,WISCONSIN,WI,2531064,0.411315557,0.220912233,0.36777221
1992,WYOMING,WY,199884,0.340997779,0.262036981,0.39696524
1996,ALABAMA,AL,1534349,0.431560877,0.067220691,0.501218432
1996,ALASKA,AK,241620,0.332671136,0.159316282,0.508012582
1996,ARIZONA,AZ,1404405,0.465170659,0.091885176,0.442944165
1996,ARKANSAS,AR,884262,0.537364492,0.094626932,0.368008577
1996,CALIFORNIA,CA,10019469,0.510988656,0.106917143,0.382094201
1996,COLORADO,CO,1510702,0.444264984,0.09777044,0.457964575
1996,CONNECTICUT,CT,1392614,0.528315815,0.12477614,0.346908045
1996,DELAWARE,DE,270810,0.518278498,0.115922603,0.3657989
1996,DISTRICT OF COLUMBIA,DC,185726,0.851900111,0.054741932,0.093357957
1996,FLORIDA,FL,5303154,0.480255712,0.096498801,0.423245487
1996,GEORGIA,GA,2298899,0.458414658,0.07142854,0.470156801
1996,HAWAII,HI,360120,0.569288015,0.114309119,0.316402866
1996,IDAHO,ID,491711,0.336463899,0.14169502,0.521841081
1996,ILLINOIS,IL,4311391,0.543152778,0.088747692,0.36809953
1996,INDIANA,IN,2135431,0.415571376,0.113004822,0.471423802
1996,IOWA,IA,1234075,0.502609647,0.098189332,0.399201021
1996,KANSAS,KS,1074300,0.360847994,0.096244997,0.542907009
1996,KENTUCKY,KY,1388708,0.458421785,0.092756001,0.448822215
1996,LOUISIANA,LA,1783959,0.520099957,0.080459248,0.399440794
1996,MAINE,ME,605897,0.516239559,0.176153703,0.307606738
1996,MARYLAND,MD,1780870,0.542547744,0.074757282,0.382694975
1996,MASSACHUSETTS,MA,2556459,0.614720987,0.104399093,0.28087992
1996,MICHIGAN,MI,3848844,0.516948206,0.098205851,0.384845943
1996,MINNESOTA,MN,2192492,0.511007566,0.139438137,0.349554297
1996,MISSISSIPPI,MS,893857,0.440811002,0.067121475,0.492067523
1996,MISSOURI,MO,2158065,0.475395783,0.112190319,0.412413899
1996,MONTANA,MT,407083,0.412500645,0.146183948,0.441315407
1996,NEBRASKA,NE,677415,0.34950658,0.113943447,0.536549973
1996,NEVADA,NV,464279,0.439334969,0.131517902,0.429147129
1996,NEW HAMPSHIRE,NH,496597,0.495705773,0.108629331,0.395664895
1996,NEW JERSEY,NJ,3075860,0.537202929,0.104165989,0.358631082
1996,NEW MEXICO,NM,556074,0.491832022,0.089606779,0.418561199
1996,NEW YORK,NY,6439129,0.56678939,0.163188531,0.270022079
1996,NORTH CAROLINA,NC,2515807,0.440355321,0.072350542,0.487294137
1996,NORTH DAKOTA,ND,266411,0.401278476,0.129333999,0.469387525
1996,OHIO,OH,4534434,0.473757474,0.116073803,0.410168722
1996,OKLAHOMA,OK,1206713,0.404491375,0.112945663,0.482562962
1996,OREGON,OR,1377760,0.471519713,0.137881053,0.390599234
1996,PENNSYLVANIA,PA,4501307,0.492261248,0.107595194,0.400143558
1996,RHODE ISLAND,RI,390247,0.597185885,0.134566057,0.268248058
1996,SOUTH CAROLINA,SC,1150182,0.440062529,0.061460708,0.498476763
1996,SOUTH DAKOTA,SD,323826,0.430271195,0.104840254,0.464888551
1996,TENNESSEE,TN,1894105,0.479987118,0.064108906,0.455903976
1996,TEXAS,TX,5611644,0.438317719,0.074094864,0.487587416
1996,UTAH,UT,665629,0.332967764,0.123319447,0.543712789
1996,VERMONT,VT,258449,0.533544336,0.155554868,0.310900797
1996,VIRGINIA,VA,2416642,0.451477712,0.077476101,0.471046187
1996,WASHINGTON,WA,2253837,0.49840472,0.128581614,0.373013665
1996,WEST VIRGINIA,WV,636459,0.515055958,0.117369697,0.367574345
1996,WISCONSIN,WI,2196169,0.488109522,0.127116356,0.384774123
1996,WYOMING,WY,211571,0.368358612,0.133520189,0.498121198
2000,ALABAMA,AL,1666272,0.415665029,0.019497417,0.564837554
2000,ALASKA,AK,285560,0.276663398,0.137127049,0.586209553
2000,ARIZONA,AZ,1532016,0.44734585,0.042442768,0.510211382
2000,ARKANSAS,AR,921781,0.458642563,0.02828546,0.513071977
2000,CALIFORNIA,CA,10965822,0.534497368,0.048987664,0.416514968
2000,COLORADO,CO,1741368,0.42393509,0.068562762,0.507502148
2000,CONNECTICUT,CT,1459525,0.559096281,0.056467686,0.384436032
2000,DELAWARE,DE,327529,0.549777272,0.031059845,0.419162883
2000,DISTRICT OF COLUMBIA,DC,201894,0.851550814,0.058931915,0.089517271
2000,FLORIDA,FL,5963110,0.488378212,0.023153522,0.488468266
2000,GEORGIA,GA,2583208,0.432109997,0.018294307,0.549595697
2000,HAWAII,HI,367951,0.557916679,0.067454634,0.374628687
2000,IDAHO,ID,501615,0.276381288,0.051914317,0.671704395
2000,ILLINOIS,IL,4742108,0.545965212,0.028185988,0.4258488
2000,INDIANA,IN,2199302,0.410121029,0.023410155,0.566468816
2000,IOWA,IA,1353022,0.471919156,0.059224462,0.468856382
2000,KANSAS,KS,1072216,0.372383923,0.047199445,0.580416632
2000,KENTUCKY,KY,1544106,0.413781826,0.021153341,0.565064834
2000,LOUISIANA,LA,1765656,0.448753325,0.025736044,0.525510632
2000,MAINE,ME,651817,0.490860165,0.069421325,0.43971851
2000,MARYLAND,MD,2025212,0.564883084,0.03326911,0.401847807
2000,MASSACHUSETTS,MA,2733964,0.59126126,0.08740971,0.32132903
2000,MICHIGAN,MI,4232501,0.512797989,0.025739864,0.461462147
2000,MINNESOTA,MN,2438685,0.479055721,0.065920773,0.455023507
2000,MISSISSIPPI,MS,994184,0.406981002,0.016823847,0.576195151
2000,MISSOURI,MO,2359892,0.470842733,0.024929107,0.50422816
2000,MONTANA,MT,410986,0.333651268,0.08195413,0.584394602
2000,NEBRASKA,NE,697019,0.33253039,0.04501599,0.62245362
2000,NEVADA,NV,609426,0.459412628,0.04573648,0.494850892
2000,NEW HAMPSHIRE,NH,569081,0.468031792,0.05126511,0.480703099
2000,NEW JERSEY,NJ,3187226,0.561256089,0.035831472,0.402912439
2000,NEW MEXICO,NM,598605,0.479085541,0.04244034,0.478474119
2000,NEW YORK,NY,6960215,0.566392705,0.10910913,0.324498166
2000,NORTH CAROLINA,NC,2914990,0.431456712,0.008965725,0.559577563
2000,NORTH DAKOTA,ND,288256,0.330553397,0.06286079,0.606585813
2000,OHIO,OH,4701998,0.464404281,0.035730981,0.499864738
2000,OKLAHOMA,OK,1234229,0.384269046,0.012652433,0.603078521
2000,OREGON,OR,1533950,0.4695994,0.065211382,0.465189217
2000,PENNSYLVANIA,PA,4912185,0.506081713,0.029536958,0.464381329
2000,RHODE ISLAND,RI,409112,0.609877002,0.071005006,0.319117992
2000,SOUTH CAROLINA,SC,1383902,0.409015234,0.02238092,0.568603846
2000,SOUTH DAKOTA,SD,316269,0.375642254,0.021390019,0.602967727
2000,TENNESSEE,TN,2076181,0.472848947,0.015659521,0.511491532
