pcon,share_conservative_poll,share_conservative_poll_unweighted,share_labor_poll_unweighted,share_labor_poll,N,share_joint_poll,share_joint_poll_unweighted,sd_poll,share_conservative,share_labor,country_name,region_name,share_joint,year
birmingham - hodge hill,0.05208009275423028,0.11111111111111112,0.888888888888889,0.9479199072457697,9,0.45091185149176877,0.3214285714285714,0.07406285370694052,0.14891594622731183,0.8510840537726881,England,West Midlands,44186,2017
birmingham - ladywood,0.3415019521080236,0.34782608695652173,0.6521739130434782,0.6584980478919764,23,0.6624192179190777,0.696969696969697,0.09888033365253278,0.1376142157605129,0.8623857842394871,England,West Midlands,39618,2017
birmingham - northfield,0.32017203767122543,0.3714285714285714,0.6285714285714286,0.6798279623287746,35,0.6142465347312724,0.6730769230769231,0.07886007571545962,0.4451263962375073,0.5548736037624926,England,West Midlands,42525,2017
birmingham - perry barr,0.1753322660305709,0.25,0.7500000000000001,0.824667733969429,20,0.56374199858681,0.7407407407407407,0.08502672007056253,0.28029162184773515,0.7197083781522648,England,West Midlands,41835,2017
birmingham - selly oak,0.4106268289991251,0.46153846153846156,0.5384615384615384,0.5893731710008749,39,0.6587400200164538,0.6724137931034483,0.0787746601690541,0.33636070160335735,0.6636392983966426,England,West Midlands,46465,2017
birmingham - yardley,0.42997687534737244,0.52,0.4799999999999999,0.5700231246526276,25,0.7324943846763737,0.6578947368421053,0.09901449631521288,0.2578458301677284,0.7421541698322717,England,West Midlands,34222,2017
bishop auckland,0.5148761102855706,0.48000000000000004,0.52,0.4851238897144294,50,0.7381825212083174,0.8064516129032258,0.07067937483350734,0.4938950235929367,0.5061049764070633,England,North East,41114,2017
blackburn,0.37396114255405555,0.48275862068965514,0.5172413793103449,0.6260388574459445,29,0.7872288794909587,0.7435897435897436,0.08984933872566148,0.2782616268942693,0.7217383731057307,England,North West,45928,2017
blackley and broughton,0.3418709240459382,0.35714285714285715,0.6428571428571428,0.6581290759540618,28,0.7242686630177693,0.7999999999999999,0.08964118858337279,0.23451171610456453,0.7654882838954354,England,North West,36915,2017
blackpool north and cleveleys,0.5323198746824973,0.56,0.44000000000000006,0.46768012531750275,50,0.7545278436116949,0.8064516129032258,0.07056279837145174,0.5262816015797542,0.4737183984202458,England,North West,38487,2017
blackpool south,0.6379640142869978,0.6,0.39999999999999997,0.3620359857130023,40,0.7612706788606359,0.7272727272727273,0.07598781658295906,0.461349918808787,0.5386500811912129,England,North West,32639,2017
blaydon,0.4011350916330269,0.4444444444444444,0.5555555555555556,0.5988649083669731,36,0.7056556439406745,0.75,0.0816880465030754,0.3335391912255132,0.6664608087744868,England,North East,40481,2017
blyth valley,0.4147855816086301,0.4864864864864865,0.5135135135135136,0.5852144183913699,37,0.5328393506427253,0.6851851851851851,0.08099691400498099,0.40012618296529967,0.5998738170347003,England,North East,39625,2017
bognor regis and littlehampton,0.6659800073887471,0.6304347826086957,0.3695652173913044,0.33401999261125287,46,0.6389193225193814,0.6865671641791045,0.06954051636452063,0.70314459566166565,0.29685540433833435,England,South East,43058,2017
bolsover,0.5513173553505413,0.4666666666666667,0.5333333333333333,0.44868264464945873,30,0.5587638858104438,0.625,0.09080501620502146,0.43853735645543723,0.5614626435445628,England,East Midlands,43018,2017
